Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
3А607А,ФЫ0.336.023ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А610А, Б",ФЫ0.336.021ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А610А1, Б1",ФЫ0.336.021ТУ/Д1,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А614А,ФЫ0.336.029ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А615А – В,аА0.339.049ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А617А, Б",аА0.339.102ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А617А1,аА0.339.102ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А618А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А618А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А619А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А619А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А620А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А620А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А621А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А621А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А622А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А622А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А623А-6,аА0.339.109ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А623А-6Н,"аА0.339.109ТУ, РМ 11091.929",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А627А,аА0.339 147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А627А1,аА0.339 147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А628А,аА0.339.147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А628А1,аА0.339.147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А629А,аА0.339.147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А629А1,аА0.339.147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А630А,аА0.339.147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А630А1,аА0.339.147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А631А,аА0.339.147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А631А1,аА0.339.147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А632А,аА0.339.147ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А632А1,аА0.339.147ТУ/Д1,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А634А-6, Б-6",аА0.339.176ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А634А-6Н, Б-6Н","аА0.339.176ТУ, РМ 11091.926",100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А637А-6 – Д-6,аА0.339.276ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А638А,аА0.339.348ТУ,–,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А639А-6 – В-6,аА0.339.418ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
"3А641А-5, Б-5",АЕЯР.432130.060ТУ,100,–,- 60°С ≤ t ≤+100°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
3А643А-3 – В-3,АЕЯР.432130.132ТУ,–,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Умножительные и настроечные
2А706А – Г,аА0.339.297ТУ,–,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А709А – В,аА0.339.108ТУ,125,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А717А-4 – Г-4,аА0.339.096ТУ,200,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А729А,аА0.339.172ТУ,–,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А743А-4 – Е-4,аА0.339.451ТУ,200,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А749А-4 – Г-4,аА0.339.509ТУ,70,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А752А-4 – Г-4,аА0.339.656ТУ,225,85,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А756А-4 – В-4,аА0.339.687ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А757А-4 – Е-4,аА0.339.712ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А758А-4 – В-4,аА0.339.737ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А765А-4 – Г-4,АЕЯР.432137.036ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А766А-4 – Н-4,АЕЯР.432130.054ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2А769А-4 – В-4,АЕЯР.432130.151ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"2А773А-4, Б-4",АЕЯР.432130.242ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А703А, Б",ФЫ0.336.003ТУ,70,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А705А, Б",ФЫ0.336.010ТУ,85,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А707А – К,аА0.339.053ТУ,225,85,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А715А – М,аА0.339.085ТУ,70,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А716А – И,аА0.339.093ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А718А – И,аА0.339.099ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А719А,аА0.339.101ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А720А,аА0.339.101ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А721А,аА0.339.100ТУ,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А721Б – Ж,аА0.339.100ТУ/Д2,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А721АМ,аА0.339.100ТУ/Д1,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А722А,аА0.339.100ТУ,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А722Б – И,аА0.339.100ТУ/Д2,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А722АМ,аА0.339.100ТУ/Д1,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А723А,аА0.339.100ТУ,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А723Б – И,аА0.339.100ТУ/Д2,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А723АМ,аА0.339.100ТУ/Д1,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А724А,аА0.339.100ТУ,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А724Б – Л,аА0.339.100ТУ/Д2,85к,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А724АМ,аА0.339.100ТУ/Д1,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А725А – Е,аА0.339.132ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А726А – И,аА0.339.133ТУ,85,–,- 60°С ≤ t ≤+85°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А727А – Г,аА0.339.134ТУ,140,70,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А728А – Г,аА0.339.135ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А728А1 – Г1,аА0.339.135ТУ/Д1,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А730А – И,аА0.339.148ТУ,225,85,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А735А-6 – Д-6,аА0.339.302ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А737А – К,аА0.339.335ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А738А – П,аА0.339.349ТУ,70,–,- 60°С ≤ t ≤+70°С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А739А – В,аА0.339.368ТУ,85,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А740А – Ж,аА0.339.377ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А741А – Е,аА0.339.377ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А744А1-6 – В1-6,аА0.339.458ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А744А-5, Б-5",аА0.339.458ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А744А-6, Б-6",аА0.339.458ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А745А – В,аА0.339.459ТУ,85,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А746А-6 – И-6,аА0.339.474ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А747А – Ж,аА0.339.484ТУ,70,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А748А – И,аА0.339.505ТУ,85к,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А750А – Л,аА0.339.540ТУ,85к,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А750К1,аА0.339.540ТУ,85,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А753А – П,аА0.339.677ТУ,70,35,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А754А – С,аА0.339.677ТУ,70,35,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А755А – У,аА0.339.677ТУ,70,35,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А755Д1, Д2",аА0.339.677ТУ/Д1,70,35,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А759А-4 – В-4,аА0.339.739ТУ,70,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А760А-4, Б-4",аА0.339.788ТУ,225,85,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А761А – В,аА0.339.791ТУ,70,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А762А – Л,аА0.339.792ТУ,200,25,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А763А – Н,АЕЯР.432137.022ТУ,85к,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
"3А764А, Б",АЕЯР.432137.034ТУ,85,–,,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
3А767А – Г,АЕЯР.432130.087ТУ,85к,–,- 60°С ≤ t ≤ t °С или - 60°С ≤ t ≤ tк °С Рмакс постоянная,Приборы полупроводниковые СВЧ диапазона,Диоды СВЧ,Генераторные
2Т307А-1 – Г-1,СБ0.336.026ТУ,85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
С2Т307Г-1,СБ0.336.026ТУ/Д,85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т316А – Д,СБ0.336.019ТУ,150,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т318А-1 – Е-1,ЩИ3.365.002ТУ,100,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т318В1-1,ЩИ3.365.002ТУ,100,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т324А-1 – Е-1,СБ0.336.021ТУ,85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т324А-1Н – Е-1Н,"СБ0.336.021ТУ, РМ 11091.926",85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т326А, Б",ЩТ0.336.003ТУ,175,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т331А-1 – Д-1,ХМ0.336.003ТУ,135,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т354А-2 – В-2,СБ0.336.038ТУ,175,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т354А-2Н, Б-2Н","СБ0.336.038ТУ, РМ 11091.926",125,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т360А-1 – В-1,ЩТ3.365.059ТУ,85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т360А-1Н – В-1Н,"ЩТ3.365.059ТУ, РМ 11091.926",85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т363А, Б",ЩТ0.336.008ТУ,150,45,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т368А, Б",СБ0.336.051ТУ,150,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т368А9, Б9",аА0.339.608ТУ,135,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т370А-1, Б-1",ЩТ3.336.067ТУ,125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т370А-1Н, Б-1Н","ЩТ3.336.067ТУ, РМ 11091.926",125,50,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т370А9, Б9",ЩТ3.336.067ТУ,125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т371А,СБ3.365.108ТУ,150,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т372А – В,ЖК3.365.246ТУ,125,100,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т382А, Б",СБ3.365.123ТУ,125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т384АМ-2,Я53.365.022-01ТУ,135,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т391А-2, Б-2",аА0.339.046ТУ,150,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т391В-2,аА0.339.046ТУ/Д1,125,100,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т392А-2,ХМ3.365.022ТУ,125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т392А-2Н,"ХМ3.365.022ТУ, РМ 11091.926",125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т396А-2,СБ3.365.124ТУ,150,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т396А-2Н,"СБ3.365.124ТУ, РМ 11091.926",150,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т397А-2,СБ3.365.125ТУ,150,90,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т397А-2Н,"СБ3.365.125ТУ, РМ 11091.926",150,90,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т399А,СБ0.336.066ТУ,150,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3101А-2,СБ0.336.064ТУ,150,70,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3101А-2Н,"СБ0.336.064ТУ, РМ 11091.926",150,70,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3106А-2,аА0.339.020ТУ,150,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3106А-2Н,"аА0.339.020ТУ, РМ 11091.926",150,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3114А-6 – В-6,аА0.339.089ТУ,150,100,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3115А-2, Б-2",аА0.339.105ТУ,150,70,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3117А,аА0.339.256ТУ,150,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3117А/ПК,АЕЯР.432140.247ТУ,150,50,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3120А,аА0.339.111ТУ,150,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3121А-6,аА0.339.114ТУ,150,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3123А-2 – В-2,аА0.339.191ТУ,125,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3123А-2Н – В-2Н,"аА0.339.191ТУ, РМ 11091.926",125,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3124А-2 – В-2,аА0.339.198ТУ,125,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3132А-2 – Г-2,аА0.339.300ТУ,200,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3132А-5,аА0.339.300ТУ/Д1,200,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3134А-1,аА0.339.313ТУ,125,75,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3135А-1, Б-1",аА0.339.344ТУ,125,50,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3150А-2, Б-2",аА0.339.462ТУ,125,65,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3154А-1,аА0.339.519ТУ,85,55,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3155АС-1, БС-1",аА0.339.520ТУ,135,105,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3156А-2,аА0.339.521ТУ,150,90,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3162А, А-5 / ЭА",АЕЯР.432140.184ТУ,175,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3164А,аА0.339.662ТУ,175,50,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т3186А9,АЕЯР.432150.116ТУ,150,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т3187А9, 2Т3187А91",АЕЯР.432150.117ТУ,150,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т606А,И93.365.012ТУ,150,40,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т607А-4,Я53.365.008ТУ,150,40,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
"2Т610А, Б",Я53.365.009ТУ,150,50,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т624АМ-2,Я53.365.022ТУ,135,85,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т633А,аА0.339.007ТУ,150,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
2Т634А-2,аА0.339.045ТУ,150,25,,Приборы полупроводниковые СВЧ диапазона,Транзисторы СВЧ,Малой и средней мощности
